"Season","Team","Conference","StatName","StatValue"
"2024","Colorado","Big 12","thirdDowns","65"
"2024","UCF","Big 12","interceptionYards","95"
"2024","Arizona State","Big 12","firstDowns","123"
"2024","BYU","Big 12","fourthDowns","12"
"2024","UCF","Big 12","kickReturns","12"
"2024","West Virginia","Big 12","kickReturnYards","106"
"2024","Arizona State","Big 12","puntReturnTDs","0"
"2024","Oklahoma State","Big 12","fumblesLost","0"
"2024","Baylor","Big 12","puntReturns","10"
"2024","Kansas","Big 12","fumblesRecovered","3"
"2024","Iowa State","Big 12","fumblesRecovered","3"
"2024","Texas Tech","Big 12","rushingTDs","11"
"2024","Kansas State","Big 12","puntReturnYards","123"
"2024","Cincinnati","Big 12","games","12"
"2024","Kansas State","Big 12","kickReturnYards","97"
"2024","Arizona","Big 12","totalYards","2100"
"2024","Iowa State","Big 12","fourthDownConversions","3"
"2024","Arizona State","Big 12","penalties","37"
"2024","Arizona State","Big 12","puntReturns","5"
"2024","Baylor","Big 12","games","12"
"2024","Colorado","Big 12","rushingAttempts","135"
"2024","West Virginia","Big 12","puntReturnYards","56"
"2024","Texas Tech","Big 12","passAttempts","238"
"2024","Arizona State","Big 12","fumblesRecovered","2"
"2024","Baylor","Big 12","puntReturnYards","194"
"2024","BYU","Big 12","fourthDownConversions","10"
"2024","Iowa State","Big 12","fourthDowns","4"
"2024","BYU","Big 12","rushingAttempts","172"
"2024","Kansas","Big 12","passCompletions","92"
"2024","Utah","Big 12","passingTDs","13"
"2024","Arizona","Big 12","penaltyYards","324"
"2024","Oklahoma State","Big 12","games","12"
"2024","Baylor","Big 12","fumblesLost","4"
"2024","BYU","Big 12","interceptions","5"
"2024","Colorado","Big 12","rushingYards","403"
"2024","Colorado","Big 12","interceptions","3"
"2024","Houston","Big 12","fumblesRecovered","3"
"2024","Oklahoma State","Big 12","totalYards","2350"
"2024","Texas Tech","Big 12","fourthDownConversions","3"
"2024","Oklahoma State","Big 12","sacks","11"
"2024","Houston","Big 12","passCompletions","97"
"2024","Arizona","Big 12","thirdDowns","63"
"2024","Texas Tech","Big 12","fourthDowns","10"
"2024","UCF","Big 12","puntReturnYards","142"
"2024","Texas Tech","Big 12","passCompletions","149"
"2024","Houston","Big 12","penaltyYards","403"
"2024","BYU","Big 12","kickReturnYards","199"
"2024","Utah","Big 12","passesIntercepted","6"
"2024","Kansas","Big 12","passingTDs","8"
"2024","West Virginia","Big 12","fumblesLost","3"
"2024","Arizona","Big 12","thirdDownConversions","20"
"2024","UCF","Big 12","totalYards","2446"
"2024","Cincinnati","Big 12","puntReturns","5"
"2024","Iowa State","Big 12","puntReturnYards","113"
"2024","Utah","Big 12","interceptionTDs","0"
"2024","Utah","Big 12","fumblesRecovered","1"
"2024","West Virginia","Big 12","rushingTDs","13"
"2024","Kansas","Big 12","interceptionYards","70"
"2024","Kansas State","Big 12","passingTDs","9"
"2024","Kansas State","Big 12","kickReturnTDs","0"
